,Generic Name or Active Ingredient,,Status,
,Albuterol Sulfate Solution,,Currently in Shortage,
,Alprostadil Suppository,,Currently in Shortage,
,Amifostine Injection,,Currently in Shortage,
,Amino Acid Injection,,Currently in Shortage,
,Amoxapine Tablet,,Currently in Shortage,
,"Amoxicillin Powder, For Suspension",,Currently in Shortage,
,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",,Currently in Shortage,
,"Atropa Belladonna, Opium Suppository",,Currently in Shortage,
,Atropine Sulfate Injection,,Currently in Shortage,
,Azacitidine Injection,,Currently in Shortage,
,"Bazedoxifene Acetate, Estrogens, Conjugated Tablet",,Currently in Shortage,
,Belatacept Injection,,Resolved,
,Bumetanide Injection,,Currently in Shortage,
,Bupivacaine Hydrochloride Injection,,Currently in Shortage,
,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",,Currently in Shortage,
,Capecitabine Tablet,,Currently in Shortage,
,Carboplatin Injection,,Currently in Shortage,
,Cefixime Capsule,,Currently in Shortage,
,Cefotaxime Sodium Injection,,Currently in Shortage,
,Cefotetan Disodium Injection,,Currently in Shortage,
,Chloroprocaine Hydrochloride Injection,,Currently in Shortage,
,Chlorothiazide Suspension,,Resolved,
,Cisplatin Injection,,Currently in Shortage,
,Clindamycin Phosphate Injection,,Currently in Shortage,
,Clonazepam Tablet,,Currently in Shortage,
,Collagenase Clostridium Histolyticum Ointment,,Currently in Shortage,
,Conivaptan Hydrochloride Injection,,Currently in Shortage,
,Cromolyn Sodium Concentrate,,Currently in Shortage,
,Cyclopentolate Hydrochloride Ophthalmic Solution,,Currently in Shortage,
,"Cyclopentolate Hydrochloride, Phenylephrine Hydrochloride Ophthalmic Solution",,Currently in Shortage,
,Cytarabine Injection,,Currently in Shortage,
,Dacarbazine Injection,,Currently in Shortage,
,Desmopressin Acetate Spray,,Currently in Shortage,
,Dexamethasone Sodium Phosphate Injection,,Currently in Shortage,
,Dexmedetomidine Hydrochloride Injection,,Currently in Shortage,
,Dextrose Monohydrate Injection,,Currently in Shortage,
,"Dextrose Monohydrate, Lidocaine Hydrochloride Anhydrous Injection",,Currently in Shortage,
,Diazepam Gel,,Currently in Shortage,
,Difluprednate Emulsion,,Currently in Shortage,
,Digoxin Injection,,Currently in Shortage,
,Diltiazem Hydrochloride Injection,,Currently in Shortage,
,Disopyramide Phosphate Capsule,,Currently in Shortage,
,Dobutamine Hydrochloride Injection,,Currently in Shortage,
,Dopamine Hydrochloride Injection,,Currently in Shortage,
,Dulaglutide Injection,,Currently in Shortage,
,Echothiophate Iodide Ophthalmic Solution,,Currently in Shortage,
,Edetate Calcium Disodium Injection,,Resolved,
,Enalaprilat Injection,,Currently in Shortage,
,"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection",,Currently in Shortage,
,"Epinephrine Injection, Syringes",,Currently in Shortage,
,Erythromycin Ointment,,Currently in Shortage,
,Etomidate Injection,,Currently in Shortage,
,Fentanyl Citrate Injection,,Currently in Shortage,
,Fluconazole Injection,,Currently in Shortage,
,Fludarabine Phosphate Injection,,Currently in Shortage,
,Fluorescein Sodium Injection,,Resolved,
,Flurazepam Hydrochloride Capsule,,Currently in Shortage,
,Furosemide Injection,,Currently in Shortage,
,Gentamicin Sulfate Injection,,Currently in Shortage,
,Guanfacine Hydrochloride Tablet,,Resolved,
,Heparin Sodium Injection,,Currently in Shortage,
,Hydrocortisone Sodium Succinate Injection,,Currently in Shortage,
,Hydromorphone Hydrochloride Injection,,Currently in Shortage,
,Hydroxypropyl Cellulose (1600000 Wamw) Insert,,Currently in Shortage,
,I.V. Fat Emulsion,,Resolved,
,Ibutilide Fumarate Injection,,Resolved,
,Indigotindisulfonate Sodium Injection,,Currently in Shortage,
,Isoniazid Injection,,Resolved,
,Isoniazid Tablet,,Currently in Shortage,
,Ketamine Hydrochloride Injection,,Currently in Shortage,
,Ketorolac Tromethamine Injection,,Currently in Shortage,
